transaction_date;product;price;payment_Type;name;city;state;country;account_created;last_login
01/02/2009 06:17;Product1;1138;Mastercard;carolina;Basildon;England;United Kingdom;01/02/2009 06:00;01/02/2009 06:08
01/02/2009 04:53;Product1;1213;Visa;Betina;Parkville;MO;United States;01/02/2009 04:42;01/02/2009 07:49
01/02/2009 04:53;Product1;1142;Visa;Betina;Parkville;MO;United States;01/02/2009 04:42;01/02/2009 07:49
01/02/2009 13:08;Product1;1196;Mastercard;Federica e Andrea;Astoria;OR;United States;01/01/2009 16:21;01/03/2009 12:32
01/03/2009 14:44;Product1;1254;Visa;Gouya;Echuca;Victoria;Australia;9/25/05 21:13;01/03/2009 14:22
01/04/2009 12:56;Product2;1779;Visa;Gerd W;Cahaba Heights;AL;United States;11/15/08 15:47;01/04/2009 12:45
01/04/2009 13:19;Product1;1217;Visa;LAURENCE;Mickleton;NJ;United States;9/24/08 15:19;01/04/2009 13:04
01/04/2009 20:11;Product1;1298;Mastercard;Fleur;Peoria;IL;United States;01/03/2009 09:38;01/04/2009 19:45
01/02/2009 20:09;Product1;1209;Mastercard;adam;Martin;TN;United States;01/02/2009 17:43;01/04/2009 20:01
01/04/2009 13:17;Product1;1242;Mastercard;Renee Elisabeth;Tel Aviv;Tel Aviv;Israel;01/04/2009 13:03;01/04/2009 22:10
01/04/2009 14:11;Product1;1239;Visa;Aidan;Chatou;Ile-de-France;France;06/03/2008 04:22;01/05/2009 01:17
01/05/2009 02:42;Product1;1144;Diners;Stacy;New York;NY;United States;01/05/2009 02:23;01/05/2009 04:59
01/05/2009 05:39;Product1;1397;Amex;Heidi;Eindhoven;Noord-Brabant;Netherlands;01/05/2009 04:55;01/05/2009 08:15
01/02/2009 09:16;Product1;1365;Mastercard;Sean;Shavano Park;TX;United States;01/02/2009 08:32;01/05/2009 09:05
01/05/2009 10:08;Product1;1209;Visa;Georgia;Eagle;ID;United States;11/11/2008 15:53;01/05/2009 10:05
01/02/2009 14:18;Product1;1351;Visa;Richard;Riverside;NJ;United States;12/09/2008 12:07;01/05/2009 11:01
01/04/2009 01:05;Product1;1164;Diners;Leanne;Julianstown;Meath;Ireland;01/04/2009 00:00;01/05/2009 13:36
01/05/2009 11:37;Product1;1314;Visa;Janet;Ottawa;Ontario;Canada;01/05/2009 09:35;01/05/2009 19:24
01/06/2009 05:02;Product1;1191;Diners;barbara;Hyderabad;Andhra Pradesh;India;01/06/2009 02:41;01/06/2009 07:52
01/06/2009 07:45;Product2;1791;Visa;Sabine;London;England;United Kingdom;01/06/2009 07:00;01/06/2009 09:17
01/02/2009 07:35;Product1;1325;Diners;Hani;Salt Lake City;UT;United States;12/30/08 5:44;01/06/2009 10:52
01/06/2009 12:56;Product1;1133;Visa;Jeremy;Manchester;England;United Kingdom;01/06/2009 10:58;01/06/2009 13:31
01/01/2009 11:05;Product1;1362;Diners;Janis;Ballynora;Cork;Ireland;12/10/2007 12:37;01/07/2009 01:52
01/05/2009 04:10;Product1;1115;Mastercard;Nicola;Roodepoort;Gauteng;South Africa;01/05/2009 02:33;01/07/2009 05:13
01/06/2009 07:18;Product1;1247;Visa;asuman;Chula Vista;CA;United States;01/06/2009 07:07;01/07/2009 07:08
01/02/2009 01:11;Product1;1397;Mastercard;Lena;Kuopio;Ita-Suomen Laani;Finland;12/31/08 2:48;01/07/2009 10:20
01/01/2009 02:24;Product1;1135;Visa;Lisa;Sugar Land;TX;United States;01/01/2009 01:56;01/07/2009 10:52
01/07/2009 08:08;Product1;1153;Diners;Bryan Kerrene;New York;NY;United States;01/07/2009 07:39;01/07/2009 12:38
01/02/2009 02:57;Product1;1119;Visa;chris;London;England;United Kingdom;01/03/2008 07:23;01/07/2009 13:14
01/01/2009 20:21;Product1;1145;Visa;Maxine;Morton;IL;United States;10/24/08 6:48;01/07/2009 20:49
01/08/2009 00:42;Product1;1100;Visa;Family;Los Gatos;CA;United States;01/08/2009 00:28;01/08/2009 03:39
01/08/2009 03:56;Product1;1297;Mastercard;Katherine;New York;NY;United States;01/08/2009 03:33;01/08/2009 06:19
01/08/2009 03:16;Product1;1319;Mastercard;Linda;Miami;FL;United States;01/08/2009 03:06;01/08/2009 06:34
01/08/2009 01:59;Product1;1139;Mastercard;SYLVIA;Vesenaz;Geneve;Switzerland;11/28/07 11:56;01/08/2009 07:20
01/03/2009 09:03;Product1;1292;Diners;Sheila;Brooklyn;NY;United States;01/03/2009 08:47;01/08/2009 10:38
01/05/2009 13:17;Product1;1331;Mastercard;Stephanie;Badhoevedorp;Noord-Holland;Netherlands;01/05/2009 12:45;01/08/2009 11:45
01/06/2009 07:46;Product1;1149;Amex;Kelly;Reston;VA;United States;01/06/2009 07:30;01/08/2009 12:40
01/05/2009 20:00;Product2;1708;Visa;James;Burpengary;Queensland;Australia;12/10/2008 19:53;01/08/2009 17:58
01/08/2009 16:24;Product1;1108;Visa;jennifer;Phoenix;AZ;United States;01/08/2009 15:57;01/08/2009 18:30
01/09/2009 06:39;Product1;1368;Mastercard;Anneli;Houston;TX;United States;01/09/2009 05:09;01/09/2009 07:11
01/06/2009 22:19;Product2;1824;Amex;Ritz;Pittsfield;VT;United States;01/06/2009 12:00;01/09/2009 10:05
01/06/2009 23:00;Product2;1961;Amex;Sylvia;Pittsfield;VT;United States;01/06/2009 12:00;01/09/2009 10:05
01/07/2009 07:44;Product1;1309;Mastercard;Marie;Ball Ground;GA;United States;01/07/2009 05:35;01/09/2009 10:52
01/03/2009 13:24;Product1;1355;Visa;Mehmet Fatih;Helsingor;Frederiksborg;Denmark;01/03/2009 12:47;01/09/2009 11:14
01/07/2009 15:12;Product2;1813;Visa;Anabela;Flossmoor;IL;United States;01/05/2009 19:55;01/09/2009 16:03
01/07/2009 20:15;Product1;1141;Amex;Nicole;Houston;TX;United States;01/07/2009 17:17;01/09/2009 20:02
01/03/2009 10:11;Product2;1942;Visa;Christiane;Delray Beach;FL;United States;01/03/2009 09:27;01/10/2009 09:46
01/09/2009 15:58;Product1;1303;Mastercard;Sari;Newbury;England;United Kingdom;01/09/2009 14:53;01/10/2009 13:16
01/03/2009 13:11;Product1;1246;Mastercard;simone;Kobenhavn;Kobenhavn;Denmark;10/31/08 0:31;01/10/2009 13:24
